iter	Passed	Remaining
965	14671	516
966	14685	501
967	14699	485
968	14713	470
969	14726	455
970	14741	440
971	14752	424
972	14767	409
973	14781	394
974	14795	379
975	14812	364
976	14827	349
977	14842	333
978	14859	318
979	14876	303
980	14893	288
981	14915	273
982	14932	258
983	14950	243
984	14973	228
985	14995	212
986	15012	197
987	15027	182
988	15043	167
989	15059	152
990	15074	136
991	15089	121
992	15102	106
993	15116	91
994	15129	76
995	15145	60
996	15159	45
997	15174	30
998	15188	15
999	15201	0
